Timestamp (ms),Node Power (W),Socket 0 CPU Power (W),Socket 0 GPU Power (W),Socket 0 Mem Power (W),Socket 1 CPU Power (W),Socket 1 GPU Power (W),Socket 1 Mem Power (W)
1696448587299, 435.000000, 107.000000, 67.000000, 21.000000,125.000000, 68.000000, 21.000000
1696448587331, 439.000000, 116.000000, 69.000000, 21.000000,121.000000, 68.000000, 21.000000
1696448587381, 453.000000, 128.000000, 68.000000, 21.000000,138.000000, 68.000000, 21.000000
1696448587432, 426.000000, 105.000000, 67.000000, 20.000000,123.000000, 68.000000, 21.000000
1696448587513, 428.000000, 112.000000, 67.000000, 21.000000,119.000000, 69.000000, 21.000000
1696448587588, 424.000000, 104.000000, 68.000000, 20.000000,115.000000, 69.000000, 20.000000
1696448587633, 415.000000, 103.000000, 68.000000, 21.000000,118.000000, 69.000000, 21.000000
1696448587684, 411.000000, 105.000000, 68.000000, 20.000000,108.000000, 68.000000, 20.000000
1696448587748, 406.000000, 104.000000, 67.000000, 21.000000,111.000000, 68.000000, 20.000000
1696448587804, 417.000000, 104.000000, 68.000000, 23.000000,116.000000, 68.000000, 23.000000
1696448587856, 483.000000, 99.000000, 98.000000, 20.000000,123.000000, 103.000000, 21.000000
1696448587889, 490.000000, 115.000000, 99.000000, 23.000000,108.000000, 101.000000, 23.000000
1696448587933, 477.000000, 104.000000, 99.000000, 21.000000,112.000000, 101.000000, 22.000000
1696448587983, 479.000000, 104.000000, 99.000000, 21.000000,110.000000, 100.000000, 21.000000
1696448588032, 483.000000, 107.000000, 100.000000, 24.000000,114.000000, 102.000000, 24.000000
1696448588083, 490.000000, 107.000000, 100.000000, 23.000000,111.000000, 102.000000, 23.000000
1696448588134, 475.000000, 104.000000, 99.000000, 24.000000,109.000000, 100.000000, 24.000000
1696448588183, 468.000000, 104.000000, 100.000000, 21.000000,100.000000, 101.000000, 22.000000
1696448588233, 464.000000, 104.000000, 99.000000, 22.000000,100.000000, 100.000000, 21.000000
1696448588283, 472.000000, 111.000000, 100.000000, 25.000000,99.000000, 100.000000, 25.000000
1696448588364, 461.000000, 97.000000, 99.000000, 21.000000,91.000000, 102.000000, 21.000000
1696448588434, 470.000000, 106.000000, 99.000000, 21.000000,104.000000, 101.000000, 20.000000
1696448588483, 488.000000, 110.000000, 101.000000, 21.000000,103.000000, 101.000000, 21.000000
1696448588519, 492.000000, 115.000000, 99.000000, 21.000000,111.000000, 100.000000, 21.000000
1696448588556, 580.000000, 161.000000, 100.000000, 21.000000,167.000000, 101.000000, 21.000000
1696448588593, 567.000000, 143.000000, 99.000000, 21.000000,163.000000, 101.000000, 21.000000
1696448588635, 580.000000, 162.000000, 100.000000, 21.000000,164.000000, 101.000000, 21.000000
1696448588685, 530.000000, 125.000000, 107.000000, 20.000000,128.000000, 109.000000, 20.000000
1696448588732, 503.000000, 126.000000, 108.000000, 22.000000,118.000000, 110.000000, 21.000000
1696448588783, 611.000000, 162.000000, 109.000000, 21.000000,166.000000, 113.000000, 21.000000
1696448588833, 591.000000, 162.000000, 109.000000, 21.000000,159.000000, 113.000000, 21.000000
1696448588887, 604.000000, 161.000000, 109.000000, 21.000000,162.000000, 112.000000, 21.000000
1696448588933, 604.000000, 164.000000, 114.000000, 21.000000,165.000000, 113.000000, 21.000000
1696448588983, 598.000000, 159.000000, 114.000000, 21.000000,159.000000, 112.000000, 21.000000
1696448589031, 606.000000, 164.000000, 114.000000, 21.000000,159.000000, 114.000000, 21.000000
1696448589083, 595.000000, 163.000000, 114.000000, 21.000000,158.000000, 120.000000, 21.000000
1696448589134, 620.000000, 159.000000, 118.000000, 22.000000,173.000000, 121.000000, 21.000000
1696448589184, 591.000000, 164.000000, 118.000000, 20.000000,135.000000, 120.000000, 20.000000
1696448589233, 626.000000, 165.000000, 119.000000, 21.000000,174.000000, 120.000000, 21.000000
1696448589284, 617.000000, 162.000000, 118.000000, 21.000000,166.000000, 121.000000, 21.000000
1696448589333, 620.000000, 166.000000, 119.000000, 22.000000,171.000000, 121.000000, 21.000000
1696448589382, 602.000000, 162.000000, 118.000000, 21.000000,162.000000, 121.000000, 21.000000
1696448589436, 606.000000, 143.000000, 118.000000, 21.000000,164.000000, 121.000000, 21.000000
1696448589483, 578.000000, 141.000000, 117.000000, 20.000000,148.000000, 120.000000, 21.000000
1696448589533, 620.000000, 165.000000, 118.000000, 21.000000,170.000000, 120.000000, 21.000000
1696448589582, 620.000000, 160.000000, 118.000000, 21.000000,160.000000, 120.000000, 21.000000
1696448589634, 593.000000, 145.000000, 118.000000, 21.000000,160.000000, 121.000000, 21.000000
1696448589683, 600.000000, 153.000000, 118.000000, 21.000000,154.000000, 120.000000, 21.000000
1696448589734, 613.000000, 165.000000, 119.000000, 21.000000,160.000000, 121.000000, 21.000000
1696448589783, 620.000000, 165.000000, 118.000000, 21.000000,165.000000, 120.000000, 20.000000
1696448589835, 611.000000, 151.000000, 118.000000, 21.000000,164.000000, 121.000000, 21.000000
1696448589883, 617.000000, 162.000000, 118.000000, 21.000000,164.000000, 121.000000, 21.000000
1696448589934, 613.000000, 165.000000, 119.000000, 21.000000,158.000000, 121.000000, 21.000000
1696448589983, 620.000000, 164.000000, 119.000000, 21.000000,166.000000, 121.000000, 21.000000
1696448590034, 624.000000, 167.000000, 119.000000, 21.000000,167.000000, 121.000000, 21.000000
1696448590084, 615.000000, 160.000000, 119.000000, 21.000000,167.000000, 121.000000, 21.000000
1696448590132, 584.000000, 155.000000, 118.000000, 21.000000,132.000000, 120.000000, 20.000000
1696448590183, 613.000000, 163.000000, 119.000000, 21.000000,165.000000, 121.000000, 20.000000
1696448590234, 628.000000, 166.000000, 119.000000, 21.000000,164.000000, 121.000000, 21.000000
1696448590283, 622.000000, 160.000000, 118.000000, 21.000000,164.000000, 121.000000, 21.000000
1696448590331, 631.000000, 157.000000, 119.000000, 21.000000,154.000000, 121.000000, 21.000000
1696448590384, 620.000000, 162.000000, 118.000000, 21.000000,169.000000, 121.000000, 21.000000
1696448590433, 617.000000, 167.000000, 119.000000, 21.000000,170.000000, 121.000000, 21.000000
1696448590483, 628.000000, 161.000000, 118.000000, 21.000000,170.000000, 121.000000, 21.000000
