Timestamp (ms),Node Power (W),Socket 0 CPU Power (W),Socket 0 GPU Power (W),Socket 0 Mem Power (W),Socket 1 CPU Power (W),Socket 1 GPU Power (W),Socket 1 Mem Power (W)
1696448587299, 377.000000, 108.000000, 69.000000, 20.000000,89.000000, 68.000000, 20.000000
1696448587331, 399.000000, 103.000000, 68.000000, 20.000000,99.000000, 68.000000, 20.000000
1696448587380, 416.000000, 114.000000, 70.000000, 21.000000,116.000000, 68.000000, 20.000000
1696448587431, 394.000000, 107.000000, 69.000000, 22.000000,98.000000, 68.000000, 21.000000
1696448587518, 397.000000, 104.000000, 70.000000, 20.000000,97.000000, 67.000000, 20.000000
1696448587589, 394.000000, 105.000000, 69.000000, 20.000000,96.000000, 68.000000, 20.000000
1696448587631, 383.000000, 97.000000, 70.000000, 20.000000,95.000000, 67.000000, 22.000000
1696448587681, 376.000000, 98.000000, 69.000000, 20.000000,86.000000, 68.000000, 20.000000
1696448587742, 377.000000, 94.000000, 69.000000, 21.000000,87.000000, 68.000000, 22.000000
1696448587812, 423.000000, 96.000000, 98.000000, 22.000000,98.000000, 82.000000, 20.000000
1696448587856, 439.000000, 90.000000, 98.000000, 20.000000,91.000000, 102.000000, 20.000000
1696448587890, 434.000000, 89.000000, 98.000000, 21.000000,97.000000, 97.000000, 22.000000
1696448587930, 428.000000, 86.000000, 100.000000, 22.000000,94.000000, 98.000000, 23.000000
1696448587982, 434.000000, 86.000000, 100.000000, 22.000000,95.000000, 98.000000, 21.000000
1696448588031, 437.000000, 84.000000, 99.000000, 21.000000,95.000000, 97.000000, 21.000000
1696448588082, 432.000000, 86.000000, 100.000000, 23.000000,94.000000, 98.000000, 21.000000
1696448588130, 425.000000, 84.000000, 99.000000, 22.000000,88.000000, 97.000000, 20.000000
1696448588184, 422.000000, 85.000000, 99.000000, 21.000000,86.000000, 98.000000, 20.000000
1696448588232, 409.000000, 83.000000, 99.000000, 21.000000,78.000000, 98.000000, 20.000000
1696448588281, 418.000000, 78.000000, 101.000000, 21.000000,81.000000, 97.000000, 22.000000
1696448588352, 409.000000, 76.000000, 99.000000, 21.000000,76.000000, 99.000000, 21.000000
1696448588428, 429.000000, 86.000000, 101.000000, 20.000000,86.000000, 98.000000, 20.000000
1696448588484, 449.000000, 95.000000, 100.000000, 20.000000,94.000000, 97.000000, 20.000000
1696448588517, 449.000000, 95.000000, 100.000000, 20.000000,94.000000, 97.000000, 20.000000
1696448588551, 526.000000, 142.000000, 99.000000, 20.000000,145.000000, 98.000000, 20.000000
1696448588587, 481.000000, 110.000000, 100.000000, 20.000000,109.000000, 98.000000, 20.000000
1696448588635, 529.000000, 143.000000, 99.000000, 20.000000,145.000000, 97.000000, 20.000000
1696448588680, 512.000000, 128.000000, 109.000000, 21.000000,114.000000, 97.000000, 20.000000
1696448588730, 483.000000, 115.000000, 117.000000, 20.000000,106.000000, 97.000000, 20.000000
1696448588783, 571.000000, 143.000000, 118.000000, 20.000000,153.000000, 98.000000, 20.000000
1696448588831, 535.000000, 141.000000, 118.000000, 21.000000,136.000000, 99.000000, 20.000000
1696448588885, 564.000000, 146.000000, 120.000000, 20.000000,146.000000, 98.000000, 20.000000
1696448588935, 554.000000, 143.000000, 118.000000, 20.000000,142.000000, 103.000000, 20.000000
1696448588982, 559.000000, 139.000000, 118.000000, 20.000000,142.000000, 107.000000, 20.000000
1696448589029, 563.000000, 147.000000, 118.000000, 20.000000,146.000000, 107.000000, 20.000000
1696448589081, 561.000000, 146.000000, 118.000000, 20.000000,144.000000, 107.000000, 20.000000
1696448589132, 578.000000, 145.000000, 119.000000, 21.000000,154.000000, 116.000000, 20.000000
1696448589182, 577.000000, 142.000000, 118.000000, 20.000000,154.000000, 115.000000, 20.000000
1696448589232, 601.000000, 145.000000, 119.000000, 20.000000,153.000000, 115.000000, 20.000000
1696448589281, 574.000000, 142.000000, 119.000000, 21.000000,156.000000, 115.000000, 20.000000
1696448589333, 580.000000, 148.000000, 118.000000, 20.000000,143.000000, 115.000000, 21.000000
1696448589379, 585.000000, 148.000000, 119.000000, 20.000000,148.000000, 116.000000, 20.000000
1696448589432, 576.000000, 150.000000, 118.000000, 20.000000,147.000000, 116.000000, 20.000000
1696448589481, 544.000000, 126.000000, 118.000000, 20.000000,119.000000, 114.000000, 20.000000
1696448589532, 569.000000, 143.000000, 118.000000, 20.000000,143.000000, 115.000000, 21.000000
1696448589581, 579.000000, 147.000000, 119.000000, 21.000000,150.000000, 115.000000, 21.000000
1696448589631, 577.000000, 147.000000, 119.000000, 20.000000,149.000000, 116.000000, 20.000000
1696448589682, 587.000000, 148.000000, 119.000000, 20.000000,138.000000, 116.000000, 20.000000
1696448589732, 566.000000, 148.000000, 119.000000, 20.000000,146.000000, 115.000000, 21.000000
1696448589781, 580.000000, 146.000000, 119.000000, 20.000000,146.000000, 116.000000, 20.000000
1696448589831, 576.000000, 142.000000, 120.000000, 21.000000,149.000000, 115.000000, 20.000000
1696448589882, 581.000000, 148.000000, 120.000000, 20.000000,148.000000, 116.000000, 20.000000
1696448589930, 526.000000, 112.000000, 118.000000, 20.000000,123.000000, 114.000000, 20.000000
