#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.8335728943e+00    8.1720396326e+00   -6.5149828150e+00    3.6814099207e+00    1.1256255722e+00   -7.6406083872e+00    1.2033000000e+04    1.1454654319e-01    9.9266805812e-01
         1   -2.9335467093e+00    8.7630766249e+00   -6.1940943950e+00    3.2605476857e+00    9.9850590111e-01   -7.1926002961e+00    1.1556000000e+04    1.0259128513e-01    9.9410777123e-01
         2   -2.8807109866e+00    8.4589482340e+00   -6.5855992397e+00    3.7048882531e+00    1.0908350596e+00   -7.6764342994e+00    1.1801000000e+04    1.0178990256e-01    9.9251286379e-01
         3   -2.8683237498e+00    8.3843402425e+00   -6.3858628988e+00    3.5175391489e+00    1.1119359657e+00   -7.4977988645e+00    1.1830000000e+04    1.0506898769e-01    9.9263850812e-01
         4   -2.9010280443e+00    8.5609176624e+00   -6.1458307607e+00    3.2448027165e+00    1.0608281821e+00   -7.2066589428e+00    1.1930000000e+04    1.0397233425e-01    9.9431768274e-01
         5   -2.8525096561e+00    8.2779543434e+00   -6.5414507421e+00    3.6889410861e+00    1.0977433800e+00   -7.6391941222e+00    1.1730000000e+04    1.1093168781e-01    9.9329519272e-01
         6   -2.8775098644e+00    8.4391072281e+00   -6.1925992740e+00    3.3150894096e+00    1.0704803945e+00   -7.2630796684e+00    1.1714000000e+04    1.0237626806e-01    9.9374208813e-01
         7   -2.9235163889e+00    8.6948971501e+00   -6.3188262814e+00    3.3953098925e+00    1.0063846947e+00   -7.3252109761e+00    1.2671000000e+04    1.0503690938e-01    9.9255756540e-01
         8   -2.9183256452e+00    8.6701466389e+00   -5.8990659276e+00    2.9807402824e+00    1.0311703557e+00   -6.9302362833e+00    1.2534000000e+04    1.0401396438e-01    9.9409892594e-01
         9   -2.9113620253e+00    8.6289900781e+00   -6.0999250596e+00    3.1885630343e+00    1.0335693095e+00   -7.1334943690e+00    1.2624000000e+04    1.1752262119e-01    9.9323115725e-01
        10   -2.9270054229e+00    8.7245578285e+00   -5.9201513846e+00    2.9931459616e+00    1.0142637477e+00   -6.9344151322e+00    1.2822000000e+04    1.1776237388e-01    9.9438410917e-01
        11   -2.9423960063e+00    8.8175862292e+00   -5.8235078588e+00    2.8811118525e+00    9.8509989099e-01   -6.8086077498e+00    1.2181000000e+04    1.0165945869e-01    9.9444688127e-01
        12   -2.9476082791e+00    8.8487900757e+00   -5.8067887641e+00    2.8591804850e+00    1.0096142017e+00   -6.8164029658e+00    1.2752000000e+04    1.0579459275e-01    9.9412750224e-01
        13   -2.9269513306e+00    8.7201792214e+00   -5.9979039865e+00    3.0709526559e+00    1.0185531937e+00   -7.0164571802e+00    1.2635000000e+04    1.0512348931e-01    9.9431077467e-01
        14   -2.8976735254e+00    8.5408715245e+00   -6.2512132573e+00    3.3535397320e+00    1.0516743104e+00   -7.3028875677e+00    1.2668000000e+04    1.0552706106e-01    9.9284349153e-01
        15   -2.9318333669e+00    8.7453782618e+00   -6.1700523232e+00    3.2382189563e+00    1.0139355031e+00   -7.1839878263e+00    1.2271000000e+04    1.0750935394e-01    9.9310173423e-01
        16   -2.9108981175e+00    8.6207683040e+00   -6.0330001865e+00    3.1221020691e+00    1.0288111865e+00   -7.0618113730e+00    1.2235000000e+04    1.1226348406e-01    9.9268396387e-01
        17   -2.8581449361e+00    8.3229611017e+00   -6.2369767478e+00    3.3788318117e+00    1.1249205047e+00   -7.3618972525e+00    1.1928000000e+04    1.0849337850e-01    9.9298068312e-01
        18   -2.9139847974e+00    8.6627822492e+00   -6.1181197152e+00    3.2041349179e+00    1.0414104094e+00   -7.1595301247e+00    1.1870000000e+04    1.0205050938e-01    9.9346156881e-01
        19   -2.8505777327e+00    8.2836647433e+00   -6.5749119609e+00    3.7243342282e+00    1.1111292034e+00   -7.6860411644e+00    1.2577000000e+04    1.0636426019e-01    9.9395158507e-01
        20   -2.8331272070e+00    8.1742038667e+00   -6.2506201225e+00    3.4174929154e+00    1.1445189491e+00   -7.3951390716e+00    1.1910000000e+04    9.8718071437e-02    9.9438257747e-01
        21   -2.8139244421e+00    8.0726963895e+00   -6.6071067787e+00    3.7931823367e+00    1.1751327695e+00   -7.7822395483e+00    1.1460000000e+04    1.0138055163e-01    9.9353800090e-01
        22   -2.8854704268e+00    8.4520524603e+00   -6.2094154716e+00    3.3239450449e+00    1.0564038705e+00   -7.2658193421e+00    1.1366000000e+04    9.7024747188e-02    9.9481542348e-01
        23   -2.8381119306e+00    8.1929849814e+00   -6.3580474106e+00    3.5199354800e+00    1.1144937940e+00   -7.4725412046e+00    1.1526000000e+04    1.0161715225e-01    9.9330548414e-01
        24   -2.8391784746e+00    8.2020305923e+00   -6.3934144594e+00    3.5542359848e+00    1.1235108769e+00   -7.5169253363e+00    1.1978000000e+04    1.0743605025e-01    9.9423655038e-01
        25   -2.8734737612e+00    8.3993849771e+00   -6.2189220424e+00    3.3454482812e+00    1.0757201854e+00   -7.2946422278e+00    1.2184000000e+04    1.0570727906e-01    9.9421863319e-01
        26   -2.8653546042e+00    8.3706848986e+00   -6.2040588844e+00    3.3387042802e+00    1.1025044349e+00   -7.3065633193e+00    1.2335000000e+04    1.0631467544e-01    9.9273297063e-01
        27   -2.8714088968e+00    8.4027268898e+00   -6.4588622634e+00    3.5874533666e+00    1.0938746861e+00   -7.5527369494e+00    1.2087000000e+04    1.1321446900e-01    9.9187226117e-01
        28   -2.9333903183e+00    8.7476367792e+00   -5.9852792616e+00    3.0518889433e+00    1.0203679007e+00   -7.0056471623e+00    1.2227000000e+04    1.1412777169e-01    9.9348284714e-01
        29   -2.8913501992e+00    8.5007430208e+00   -6.0757381953e+00    3.1843879961e+00    1.0441230412e+00   -7.1198612365e+00    1.1915000000e+04    1.1163894963e-01    9.9298660236e-01
        30   -2.9040202106e+00    8.5766091439e+00   -6.2528466875e+00    3.3488264769e+00    1.0411598293e+00   -7.2940065168e+00    1.1361000000e+04    1.0262014644e-01    9.9328894458e-01
        31   -2.8967256288e+00    8.5313291752e+00   -6.3326355009e+00    3.4359098720e+00    1.0551067863e+00   -7.3877422871e+00    1.0748000000e+04    9.9475735687e-02    9.9355751032e-01
