#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        28   -2.8286120761e+00    8.1511148667e+00   -6.5350481181e+00    3.7064360421e+00    1.1397933322e+00   -7.6748414504e+00    1.6000000000e+04    6.2328452663e-02    8.7096875000e-01
        29   -2.8271257339e+00    8.1461107325e+00   -6.5833485859e+00    3.7562228519e+00    1.1557093290e+00   -7.7390579148e+00    1.6000000000e+04    6.2694312694e-02    8.6987500000e-01
        30   -2.8324644424e+00    8.1742350458e+00   -6.5656848858e+00    3.7332204434e+00    1.1432106696e+00   -7.7088955554e+00    1.6000000000e+04    6.1970297100e-02    8.6912500000e-01
        31   -2.8299904593e+00    8.1588171371e+00   -6.4617839455e+00    3.6317934861e+00    1.1417496324e+00   -7.6035335778e+00    1.6000000000e+04    6.2531019331e-02    8.6981250000e-01
        32   -2.8401016128e+00    8.2187439933e+00   -6.5791297852e+00    3.7390281724e+00    1.1267742510e+00   -7.7059040362e+00    1.6000000000e+04    6.1823004388e-02    8.7050000000e-01
        33   -2.8394045567e+00    8.2136451170e+00   -6.3905732514e+00    3.5511686946e+00    1.1298819385e+00   -7.5204551898e+00    1.6000000000e+04    6.2031262913e-02    8.7128125000e-01
        34   -2.8305626403e+00    8.1650371191e+00   -6.4988814200e+00    3.6683187797e+00    1.1450327645e+00   -7.6439141845e+00    1.6000000000e+04    6.2470498525e-02    8.7050000000e-01
        35   -2.8302798477e+00    8.1583938779e+00   -6.6469785647e+00    3.8166987170e+00    1.1457488388e+00   -7.7927274035e+00    1.6000000000e+04    6.2253690069e-02    8.6915625000e-01
        36   -2.8411868976e+00    8.2279089467e+00   -6.4695923420e+00    3.6284054445e+00    1.1341823812e+00   -7.6037747232e+00    1.6000000000e+04    6.2013430656e-02    8.7103125000e-01
        37   -2.8152815255e+00    8.0815020476e+00   -6.4137879941e+00    3.5985064686e+00    1.1681690902e+00   -7.5819570843e+00    1.6000000000e+04    6.2461385300e-02    8.7356250000e-01
        38   -2.8410835844e+00    8.2230073141e+00   -6.5136032902e+00    3.6725197058e+00    1.1200539452e+00   -7.6336572354e+00    1.6000000000e+04    6.2190251881e-02    8.7100000000e-01
        39   -2.8436922717e+00    8.2417421538e+00   -6.5032595300e+00    3.6595672583e+00    1.1311482762e+00   -7.6344078061e+00    1.6000000000e+04    6.2915723619e-02    8.7181250000e-01
        40   -2.8373026954e+00    8.2099794889e+00   -6.4881350789e+00    3.6508323834e+00    1.1417810090e+00   -7.6299160878e+00    1.6000000000e+04    6.2167932000e-02    8.7231250000e-01
        41   -2.8395481955e+00    8.2131702457e+00   -6.5599229538e+00    3.7203747583e+00    1.1335790269e+00   -7.6935019807e+00    1.6000000000e+04    6.2194890331e-02    8.7106250000e-01
        42   -2.8259406430e+00    8.1399677284e+00   -6.5355188523e+00    3.7095782094e+00    1.1615823143e+00   -7.6971011666e+00    1.6000000000e+04    6.2245624663e-02    8.7306250000e-01
        43   -2.8343412355e+00    8.1867013934e+00   -6.4627472627e+00    3.6284060272e+00    1.1363070868e+00   -7.5990543495e+00    1.6000000000e+04    6.2124607919e-02    8.7296875000e-01
