Timestamp (ms),Node Power (W),Socket 0 CPU Power (W),Socket 0 GPU Power (W),Socket 0 Mem Power (W),Socket 1 CPU Power (W),Socket 1 GPU Power (W),Socket 1 Mem Power (W)
1696448587328, 498.000000, 122.000000, 73.000000, 22.000000,122.000000, 73.000000, 21.000000
1696448587360, 493.000000, 131.000000, 73.000000, 21.000000,131.000000, 74.000000, 21.000000
1696448587410, 509.000000, 126.000000, 73.000000, 20.000000,124.000000, 74.000000, 20.000000
1696448587481, 511.000000, 131.000000, 72.000000, 28.000000,129.000000, 73.000000, 23.000000
1696448587569, 492.000000, 120.000000, 73.000000, 21.000000,125.000000, 73.000000, 22.000000
1696448587611, 478.000000, 116.000000, 73.000000, 21.000000,111.000000, 73.000000, 20.000000
1696448587655, 484.000000, 117.000000, 74.000000, 21.000000,114.000000, 74.000000, 21.000000
1696448587712, 477.000000, 122.000000, 73.000000, 23.000000,106.000000, 73.000000, 21.000000
1696448587776, 478.000000, 116.000000, 74.000000, 21.000000,108.000000, 73.000000, 21.000000
1696448587835, 533.000000, 121.000000, 105.000000, 22.000000,109.000000, 106.000000, 22.000000
1696448587869, 552.000000, 161.000000, 105.000000, 22.000000,117.000000, 105.000000, 20.000000
1696448587911, 556.000000, 124.000000, 105.000000, 23.000000,121.000000, 106.000000, 21.000000
1696448587962, 552.000000, 124.000000, 105.000000, 22.000000,112.000000, 106.000000, 21.000000
1696448588011, 531.000000, 112.000000, 105.000000, 22.000000,99.000000, 106.000000, 21.000000
1696448588061, 535.000000, 112.000000, 105.000000, 25.000000,99.000000, 106.000000, 21.000000
1696448588113, 530.000000, 114.000000, 105.000000, 21.000000,93.000000, 106.000000, 22.000000
1696448588160, 530.000000, 112.000000, 105.000000, 23.000000,97.000000, 106.000000, 21.000000
1696448588211, 536.000000, 110.000000, 105.000000, 23.000000,98.000000, 106.000000, 24.000000
1696448588261, 527.000000, 114.000000, 105.000000, 26.000000,99.000000, 106.000000, 23.000000
1696448588323, 534.000000, 111.000000, 105.000000, 22.000000,98.000000, 106.000000, 21.000000
1696448588399, 518.000000, 102.000000, 105.000000, 21.000000,102.000000, 108.000000, 21.000000
1696448588466, 541.000000, 114.000000, 107.000000, 21.000000,104.000000, 106.000000, 20.000000
1696448588503, 631.000000, 177.000000, 105.000000, 21.000000,164.000000, 106.000000, 21.000000
1696448588537, 644.000000, 172.000000, 105.000000, 21.000000,157.000000, 107.000000, 21.000000
1696448588584, 624.000000, 166.000000, 106.000000, 21.000000,170.000000, 107.000000, 21.000000
1696448588617, 658.000000, 171.000000, 106.000000, 21.000000,168.000000, 110.000000, 21.000000
1696448588664, 591.000000, 140.000000, 105.000000, 23.000000,130.000000, 109.000000, 22.000000
1696448588710, 573.000000, 127.000000, 111.000000, 21.000000,135.000000, 109.000000, 21.000000
1696448588762, 609.000000, 162.000000, 112.000000, 22.000000,162.000000, 111.000000, 23.000000
1696448588811, 664.000000, 179.000000, 112.000000, 21.000000,167.000000, 110.000000, 21.000000
1696448588868, 664.000000, 174.000000, 112.000000, 21.000000,166.000000, 112.000000, 21.000000
1696448588924, 671.000000, 176.000000, 116.000000, 21.000000,157.000000, 120.000000, 21.000000
1696448588958, 653.000000, 176.000000, 115.000000, 21.000000,123.000000, 119.000000, 20.000000
1696448589013, 671.000000, 173.000000, 116.000000, 21.000000,158.000000, 127.000000, 21.000000
1696448589064, 684.000000, 176.000000, 125.000000, 21.000000,159.000000, 127.000000, 21.000000
1696448589110, 686.000000, 176.000000, 124.000000, 21.000000,160.000000, 128.000000, 21.000000
1696448589163, 686.000000, 177.000000, 124.000000, 21.000000,161.000000, 127.000000, 21.000000
1696448589211, 684.000000, 176.000000, 125.000000, 21.000000,163.000000, 126.000000, 21.000000
1696448589263, 688.000000, 174.000000, 124.000000, 21.000000,159.000000, 127.000000, 20.000000
1696448589312, 686.000000, 171.000000, 125.000000, 21.000000,160.000000, 127.000000, 21.000000
1696448589361, 684.000000, 179.000000, 124.000000, 21.000000,159.000000, 127.000000, 21.000000
1696448589413, 629.000000, 140.000000, 124.000000, 21.000000,126.000000, 127.000000, 21.000000
1696448589461, 688.000000, 174.000000, 124.000000, 21.000000,163.000000, 127.000000, 21.000000
1696448589511, 684.000000, 176.000000, 125.000000, 21.000000,158.000000, 128.000000, 21.000000
