# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        32   -1.7255456352e+01    3.4177668854e-01    1.0239857332e+04    1.0238000000e+04    4.3750000000e-01   -1.7221604426e+01    9.9591136796e-01    9.9941394804e-01
        33   -1.7255002478e+01    2.3423566271e-01    1.0239982460e+04    1.0241000000e+04    3.1250000000e-01   -1.7274986649e+01    9.9585702026e-01    9.9921882629e-01
        34   -1.7254139967e+01    2.2901915443e-01    1.0239977396e+04    1.0241000000e+04    3.1250000000e-01   -1.7274532774e+01    9.9545403276e-01    9.9970705986e-01
        35   -1.7254865904e+01    2.6874246894e-01    1.0240008423e+04    1.0241000000e+04    1.2500000000e-01   -1.7273670263e+01    9.9589244812e-01    9.9921882629e-01
        36   -1.7253021252e+01    2.3233590800e-01    1.0239935932e+04    1.0238000000e+04    2.5000000000e-01   -1.7215799589e+01    9.9597139769e-01    9.9951162336e-01
        37   -1.7254669526e+01    2.4318887639e-01    1.0240039422e+04    1.0243000000e+04    3.7500000000e-01   -1.7311606420e+01    9.9570456792e-01    9.9921897881e-01
        38   -1.7249212835e+01    2.2197930664e-01    1.0239865495e+04    1.0241000000e+04    2.5000000000e-01   -1.7274199823e+01    9.9524314759e-01    9.9882823943e-01
        39   -1.7252379006e+01    2.2047085050e-01    1.0240085605e+04    1.0235000000e+04    5.0000000000e-01   -1.7151532735e+01    9.9607064008e-01    9.9921836834e-01
        40   -1.7254889805e+01    2.2603703907e-01    1.0240038199e+04    1.0235000000e+04    3.1250000000e-01   -1.7154698907e+01    9.9577239754e-01    9.9912066439e-01
        41   -1.7249399518e+01    2.3364071871e-01    1.0239837517e+04    1.0232000000e+04    4.3750000000e-01   -1.7098578738e+01    9.9566233949e-01    9.9970680219e-01
        42   -1.7250352949e+01    2.6290120913e-01    1.0240056812e+04    1.0247000000e+04    5.0000000000e-01   -1.7386071559e+01    9.9526969516e-01    9.9921928369e-01
        43   -1.7257819212e+01    2.4977017185e-01    1.0240213198e+04    1.0245000000e+04    2.5000000000e-01   -1.7347985365e+01    9.9605107731e-01    9.9912152269e-01
        44   -1.7259482344e+01    2.3959975438e-01    1.0240061599e+04    1.0244000000e+04    1.8750000000e-01   -1.7335928957e+01    9.9587032822e-01    9.9921905506e-01
        45   -1.7264006402e+01    2.6274783984e-01    1.0240120655e+04    1.0242000000e+04    3.1250000000e-01   -1.7298541030e+01    9.9535305789e-01    9.9931653974e-01
        46   -1.7259172480e+01    2.2413196021e-01    1.0239942351e+04    1.0249000000e+04    4.3750000000e-01   -1.7439710450e+01    9.9544792657e-01    9.9912186555e-01
        47   -1.7263693236e+01    2.5495959582e-01    1.0240134016e+04    1.0244000000e+04    3.7500000000e-01   -1.7337282225e+01    9.9562598479e-01    9.9834049200e-01
        48   -1.7259366024e+01    2.3041909108e-01    1.0239860229e+04    1.0233000000e+04    3.1250000000e-01   -1.7126927735e+01    9.9549403354e-01    9.9941366168e-01
        49   -1.7260497382e+01    2.4784033521e-01    1.0240015156e+04    1.0237000000e+04    3.7500000000e-01   -1.7200763689e+01    9.9574772728e-01    9.9912083618e-01
        50   -1.7256708656e+01    2.2729003166e-01    1.0239933030e+04    1.0242000000e+04    5.0000000000e-01   -1.7299556068e+01    9.9516211396e-01    9.9921890256e-01
        51   -1.7253966684e+01    2.1871197004e-01    1.0239911565e+04    1.0238000000e+04    3.7500000000e-01   -1.7217642341e+01    9.9594709919e-01    9.9902324673e-01
        52   -1.7252853970e+01    2.2939510523e-01    1.0239982151e+04    1.0240000000e+04    3.7500000000e-01   -1.7253966684e+01    9.9602128321e-01    9.9931640625e-01
        53   -1.7255404139e+01    2.4074727021e-01    1.0240085780e+04    1.0243000000e+04    3.7500000000e-01   -1.7311439139e+01    9.9493680849e-01    9.9951186176e-01
        54   -1.7253956264e+01    2.2475817293e-01    1.0239988433e+04    1.0245000000e+04    1.8750000000e-01   -1.7353036555e+01    9.9587815406e-01    9.9902391410e-01
        55   -1.7257044303e+01    2.2826617862e-01    1.0240074823e+04    1.0240000000e+04    2.5000000000e-01   -1.7253956264e+01    9.9548543271e-01    9.9970703125e-01
