#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        23   -1.7266786942e+01    2.9839477297e+02   -3.0827557840e+01    1.3560770898e+01   -5.6825428805e+01    1.9082782704e+00    1.7108829448e+01    6.9807632464e+00    1.0234500000e+05    1.2506099768e+00    9.9741318374e-01
        24   -1.7259347486e+01    2.9811518781e+02   -3.0825764283e+01    1.3566416797e+01   -5.6823632642e+01    1.9148240819e+00    1.7102281030e+01    6.9807632464e+00    1.0246700000e+05    1.2646784180e+00    9.9745609973e-01
        25   -1.7264605709e+01    2.9829105107e+02   -3.0889661982e+01    1.3625056273e+01   -5.6881398939e+01    1.9040791305e+00    1.7106894580e+01    6.9807632464e+00    1.0253200000e+05    1.2548371547e+00    9.9743979364e-01
        26   -1.7258728184e+01    2.9810026865e+02   -3.0855687277e+01    1.3596959094e+01   -5.6908164666e+01    1.9599417122e+00    1.7111772430e+01    6.9807632464e+00    1.0260600000e+05    1.2476931317e+00    9.9739020032e-01
        27   -1.7257951845e+01    2.9807400470e+02   -3.0932708130e+01    1.3674756285e+01   -5.6945111522e+01    1.9192905230e+00    1.7112349623e+01    6.9807632464e+00    1.0287200000e+05    1.2605435511e+00    9.9741372110e-01
        28   -1.7254457000e+01    2.9796506246e+02   -3.0988087729e+01    1.3733630729e+01   -5.6996351174e+01    1.8980736188e+00    1.7129426580e+01    6.9807632464e+00    1.0297500000e+05    1.2538968606e+00    9.9743756868e-01
        29   -1.7253409565e+01    2.9791528765e+02   -3.0905359053e+01    1.3651949488e+01   -5.6982291100e+01    1.9414306584e+00    1.7154738142e+01    6.9807632464e+00    1.0275600000e+05    1.2891557840e+00    9.9747400197e-01
        30   -1.7259525462e+01    2.9812117780e+02   -3.0909988567e+01    1.3650463106e+01   -5.6937668526e+01    1.8838405120e+00    1.7163076200e+01    6.9807632464e+00    1.0272200000e+05    1.2509829636e+00    9.9737709454e-01
        31   -1.7254337162e+01    2.9795011495e+02   -3.0834570973e+01    1.3580233811e+01   -5.6922692573e+01    1.9688925724e+00    1.7138465781e+01    6.9807632464e+00    1.0283200000e+05    1.2408857254e+00    9.9735242397e-01
        32   -1.7257869943e+01    2.9806567224e+02   -3.0887846714e+01    1.3629976770e+01   -5.6915578171e+01    1.9257468399e+00    1.7121221371e+01    6.9807632464e+00    1.0283200000e+05    1.2524548612e+00    9.9737923734e-01
        33   -1.7260296417e+01    2.9817139676e+02   -3.0900363586e+01    1.3640067169e+01   -5.6921512455e+01    1.9201546157e+00    1.7120231006e+01    6.9807632464e+00    1.0280300000e+05    1.2506268599e+00    9.9730177570e-01
        34   -1.7265660872e+01    2.9834834826e+02   -3.0884303530e+01    1.3618642658e+01   -5.6932977035e+01    1.9376530161e+00    1.7130257242e+01    6.9807632464e+00    1.0293500000e+05    1.2381149416e+00    9.9746032834e-01
        35   -1.7260605625e+01    2.9819942533e+02   -3.0944511857e+01    1.3683906233e+01   -5.7009748054e+01    1.9487970486e+00    1.7135675902e+01    6.9807632464e+00    1.0314300000e+05    1.2550194905e+00    9.9743522532e-01
        36   -1.7261681571e+01    2.9818801708e+02   -3.0944031927e+01    1.3682350356e+01   -5.7011048793e+01    1.9623166080e+00    1.7123937012e+01    6.9807632464e+00    1.0312900000e+05    1.2576660146e+00    9.9740653092e-01
        37   -1.7265111593e+01    2.9831697940e+02   -3.0938230791e+01    1.3673119197e+01   -5.6948229214e+01    1.8989808439e+00    1.7130254333e+01    6.9807632464e+00    1.0304700000e+05    1.2547081403e+00    9.9729612744e-01
