Timestamp (ms),Node Power (W),Socket 0 CPU Power (W),Socket 0 GPU Power (W),Socket 0 Mem Power (W),Socket 1 CPU Power (W),Socket 1 GPU Power (W),Socket 1 Mem Power (W)
1696452338882, 505.000000, 135.000000, 74.000000, 22.000000,127.000000, 73.000000, 22.000000
1696452338913, 491.000000, 106.000000, 72.000000, 21.000000,126.000000, 73.000000, 21.000000
1696452338964, 495.000000, 120.000000, 73.000000, 24.000000,127.000000, 73.000000, 22.000000
1696452339014, 474.000000, 114.000000, 73.000000, 23.000000,123.000000, 73.000000, 22.000000
1696452339063, 503.000000, 118.000000, 72.000000, 21.000000,126.000000, 73.000000, 21.000000
1696452339112, 480.000000, 109.000000, 73.000000, 21.000000,112.000000, 73.000000, 21.000000
1696452339165, 495.000000, 125.000000, 72.000000, 21.000000,118.000000, 73.000000, 21.000000
1696452339213, 494.000000, 123.000000, 73.000000, 21.000000,119.000000, 73.000000, 21.000000
1696452339262, 485.000000, 111.000000, 72.000000, 22.000000,106.000000, 73.000000, 21.000000
1696452339312, 489.000000, 119.000000, 73.000000, 21.000000,115.000000, 73.000000, 20.000000
1696452339364, 488.000000, 123.000000, 73.000000, 21.000000,116.000000, 73.000000, 21.000000
1696452339412, 485.000000, 119.000000, 73.000000, 21.000000,114.000000, 73.000000, 21.000000
1696452339481, 480.000000, 114.000000, 72.000000, 21.000000,112.000000, 73.000000, 21.000000
1696452339531, 704.000000, 233.000000, 72.000000, 21.000000,216.000000, 72.000000, 20.000000
1696452339575, 666.000000, 220.000000, 72.000000, 21.000000,200.000000, 72.000000, 20.000000
1696452339621, 501.000000, 119.000000, 73.000000, 21.000000,120.000000, 73.000000, 21.000000
1696452339672, 713.000000, 243.000000, 72.000000, 22.000000,226.000000, 72.000000, 21.000000
1696452339712, 702.000000, 242.000000, 72.000000, 22.000000,226.000000, 72.000000, 21.000000
1696452339765, 484.000000, 115.000000, 72.000000, 21.000000,106.000000, 73.000000, 21.000000
1696452339830, 471.000000, 116.000000, 72.000000, 21.000000,110.000000, 73.000000, 20.000000
1696452339873, 713.000000, 241.000000, 73.000000, 21.000000,229.000000, 73.000000, 21.000000
1696452339942, 616.000000, 244.000000, 72.000000, 21.000000,229.000000, 72.000000, 21.000000
1696452339991, 717.000000, 246.000000, 73.000000, 21.000000,237.000000, 73.000000, 22.000000
1696452340043, 717.000000, 247.000000, 72.000000, 21.000000,239.000000, 73.000000, 21.000000
1696452340092, 536.000000, 112.000000, 73.000000, 21.000000,109.000000, 72.000000, 21.000000
1696452340124, 536.000000, 112.000000, 73.000000, 21.000000,109.000000, 72.000000, 21.000000
1696452340173, 730.000000, 245.000000, 72.000000, 21.000000,239.000000, 73.000000, 20.000000
1696452340223, 693.000000, 247.000000, 73.000000, 21.000000,238.000000, 72.000000, 21.000000
1696452340282, 726.000000, 202.000000, 73.000000, 21.000000,191.000000, 74.000000, 21.000000
1696452340320, 717.000000, 246.000000, 72.000000, 21.000000,231.000000, 72.000000, 20.000000
1696452340370, 718.000000, 195.000000, 72.000000, 21.000000,128.000000, 73.000000, 21.000000
1696452340420, 702.000000, 246.000000, 72.000000, 21.000000,229.000000, 73.000000, 20.000000
1696452340491, 719.000000, 247.000000, 72.000000, 21.000000,232.000000, 73.000000, 21.000000
1696452340561, 695.000000, 247.000000, 72.000000, 21.000000,231.000000, 72.000000, 21.000000
1696452340612, 715.000000, 247.000000, 72.000000, 21.000000,231.000000, 73.000000, 21.000000
1696452340681, 675.000000, 245.000000, 72.000000, 21.000000,230.000000, 72.000000, 21.000000
1696452340731, 717.000000, 246.000000, 72.000000, 21.000000,231.000000, 73.000000, 20.000000
1696452340800, 706.000000, 246.000000, 72.000000, 21.000000,232.000000, 73.000000, 21.000000
1696452340849, 721.000000, 247.000000, 72.000000, 21.000000,232.000000, 73.000000, 20.000000
1696452340881, 721.000000, 247.000000, 72.000000, 21.000000,232.000000, 73.000000, 20.000000
1696452340929, 720.000000, 158.000000, 73.000000, 21.000000,141.000000, 72.000000, 21.000000
1696452340978, 717.000000, 247.000000, 72.000000, 21.000000,232.000000, 72.000000, 20.000000
1696452341028, 525.000000, 113.000000, 72.000000, 21.000000,102.000000, 73.000000, 20.000000
1696452341076, 722.000000, 247.000000, 73.000000, 21.000000,229.000000, 72.000000, 20.000000
1696452341138, 629.000000, 134.000000, 72.000000, 21.000000,99.000000, 73.000000, 20.000000
1696452341189, 719.000000, 247.000000, 73.000000, 21.000000,233.000000, 72.000000, 20.000000
1696452341226, 664.000000, 247.000000, 72.000000, 21.000000,232.000000, 72.000000, 20.000000
1696452341292, 726.000000, 248.000000, 73.000000, 21.000000,239.000000, 72.000000, 20.000000
1696452341323, 726.000000, 248.000000, 73.000000, 21.000000,239.000000, 72.000000, 20.000000
1696452341392, 728.000000, 247.000000, 72.000000, 21.000000,240.000000, 72.000000, 21.000000
1696452341441, 717.000000, 248.000000, 73.000000, 21.000000,239.000000, 72.000000, 21.000000
1696452341473, 541.000000, 114.000000, 73.000000, 21.000000,110.000000, 73.000000, 21.000000
1696452341542, 704.000000, 247.000000, 73.000000, 21.000000,239.000000, 72.000000, 20.000000
1696452341591, 726.000000, 121.000000, 73.000000, 21.000000,106.000000, 73.000000, 21.000000
1696452341623, 699.000000, 248.000000, 72.000000, 21.000000,230.000000, 72.000000, 21.000000
1696452341691, 722.000000, 249.000000, 73.000000, 21.000000,232.000000, 73.000000, 21.000000
1696452341742, 693.000000, 247.000000, 72.000000, 21.000000,230.000000, 72.000000, 20.000000
1696452341812, 722.000000, 249.000000, 73.000000, 21.000000,231.000000, 73.000000, 21.000000
1696452341862, 688.000000, 246.000000, 72.000000, 21.000000,231.000000, 72.000000, 21.000000
1696452341913, 558.000000, 117.000000, 73.000000, 21.000000,101.000000, 73.000000, 21.000000
1696452341981, 695.000000, 248.000000, 72.000000, 21.000000,229.000000, 72.000000, 20.000000
1696452342030, 680.000000, 108.000000, 72.000000, 21.000000,98.000000, 72.000000, 20.000000
