#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            IonIon              ElecElec            BlockWeight         BlockCPU            AcceptRatio         
        25   -8.5574118175e+00    7.3373339383e+01   -1.6060053879e+01    7.5026420616e+00   -1.1791346056e+01   -3.6892268292e+00   -5.7948099408e-01    1.0238500000e+05    2.4815409831e-01    9.9706290644e-01
        26   -8.5511492943e+00    7.3267357190e+01   -1.6106077954e+01    7.5549286599e+00   -1.1830965042e+01   -3.6892268292e+00   -5.8588608280e-01    1.0230600000e+05    2.4701700381e-01    9.9734845539e-01
        27   -8.5543835891e+00    7.3320341199e+01   -1.6200741053e+01    7.6463574637e+00   -1.1931418209e+01   -3.6892268292e+00   -5.8009601465e-01    1.0240500000e+05    2.4395334819e-01    9.9700671831e-01
        28   -8.5526102809e+00    7.3290371656e+01   -1.6202163499e+01    7.6495532180e+00   -1.1935722610e+01   -3.6892268292e+00   -5.7721405945e-01    1.0248800000e+05    2.4590887450e-01    9.9708926158e-01
        29   -8.5504027745e+00    7.3253472650e+01   -1.6160605573e+01    7.6102027982e+00   -1.1893337358e+01   -3.6892268292e+00   -5.7804138546e-01    1.0259100000e+05    2.4508219806e-01    9.9698826201e-01
        30   -8.5476906726e+00    7.3204180404e+01   -1.6169130660e+01    7.6214399873e+00   -1.1900101503e+01   -3.6892268292e+00   -5.7980232787e-01    1.0255200000e+05    2.4440625981e-01    9.9718207463e-01
        31   -8.5509708726e+00    7.3261310662e+01   -1.6175787287e+01    7.6248164141e+00   -1.1916408680e+01   -3.6892268292e+00   -5.7015177718e-01    1.0237700000e+05    2.4175916031e-01    9.9713854676e-01
        32   -8.5544848077e+00    7.3322231390e+01   -1.6228152793e+01    7.6736679849e+00   -1.1968878390e+01   -3.6892268292e+00   -5.7004757355e-01    1.0233600000e+05    2.4774282688e-01    9.9707819523e-01
        33   -8.5523524533e+00    7.3287707509e+01   -1.6203094956e+01    7.6507425027e+00   -1.1933494031e+01   -3.6892268292e+00   -5.8037409560e-01    1.0237400000e+05    2.4467400119e-01    9.9701567831e-01
        34   -8.5518403054e+00    7.3277404170e+01   -1.6128790403e+01    7.5769500980e+00   -1.1852443200e+01   -3.6892268292e+00   -5.8712037440e-01    1.0232400000e+05    2.4290534038e-01    9.9725408003e-01
        35   -8.5512619476e+00    7.3269414763e+01   -1.6122974208e+01    7.5717122606e+00   -1.1865708223e+01   -3.6892268292e+00   -5.6803915641e-01    1.0233800000e+05    2.4273567088e-01    9.9720508028e-01
        36   -8.5527566000e+00    7.3293016485e+01   -1.6231418260e+01    7.6786616597e+00   -1.1960508270e+01   -3.6892268292e+00   -5.8168316061e-01    1.0250200000e+05    2.4714393494e-01    9.9703120082e-01
        37   -8.5571595735e+00    7.3371080284e+01   -1.6191610994e+01    7.6344514205e+00   -1.1936096135e+01   -3.6892268292e+00   -5.6628802997e-01    1.0250800000e+05    2.4554367244e-01    9.9706893459e-01
        38   -8.5486510111e+00    7.3222603979e+01   -1.6170197909e+01    7.6215468981e+00   -1.1899665980e+01   -3.6892268292e+00   -5.8130509958e-01    1.0248300000e+05    2.4117166887e-01    9.9699429481e-01
        39   -8.5510786253e+00    7.3264013015e+01   -1.6158044819e+01    7.6069661936e+00   -1.1888029097e+01   -3.6892268292e+00   -5.8078889229e-01    1.0255900000e+05    2.4375728156e-01    9.9707007659e-01
        40   -8.5507766543e+00    7.3261179579e+01   -1.6161132297e+01    7.6103556427e+00   -1.1894659876e+01   -3.6892268292e+00   -5.7724559141e-01    1.0257200000e+05    2.5082335506e-01    9.9709681539e-01
        41   -8.5512010347e+00    7.3266929414e+01   -1.6188161400e+01    7.6369603649e+00   -1.1926460039e+01   -3.6892268292e+00   -5.7247453113e-01    1.0261100000e+05    2.4498625206e-01    9.9708843444e-01
        42   -8.5535521360e+00    7.3306804082e+01   -1.6199195325e+01    7.6456431890e+00   -1.1943077730e+01   -3.6892268292e+00   -5.6689076608e-01    1.0266500000e+05    2.4240503756e-01    9.9714815835e-01
        43   -8.5528357796e+00    7.3293241398e+01   -1.6178384572e+01    7.6255487922e+00   -1.1919927607e+01   -3.6892268292e+00   -5.6923013564e-01    1.0272600000e+05    2.4506491150e-01    9.9717737111e-01
        44   -8.5504044918e+00    7.3253047032e+01   -1.6220281597e+01    7.6698771048e+00   -1.1953100828e+01   -3.6892268292e+00   -5.7795393948e-01    1.0265200000e+05    2.4371095906e-01    9.9720904884e-01
        45   -8.5532927767e+00    7.3302565444e+01   -1.6141967951e+01    7.5886751739e+00   -1.1875827528e+01   -3.6892268292e+00   -5.7691359305e-01    1.0262800000e+05    2.4215291263e-01    9.9712558492e-01
        46   -8.5492230270e+00    7.3231517726e+01   -1.6121472967e+01    7.5722499403e+00   -1.1852261573e+01   -3.6892268292e+00   -5.7998456458e-01    1.0260800000e+05    2.4429258438e-01    9.9714950212e-01
