Timestamp (ms),Node Power (W),Socket 0 CPU Power (W),Socket 0 GPU Power (W),Socket 0 Mem Power (W),Socket 1 CPU Power (W),Socket 1 GPU Power (W),Socket 1 Mem Power (W)
1696452338848, 461.000000, 118.000000, 67.000000, 21.000000,138.000000, 67.000000, 21.000000
1696452338880, 457.000000, 133.000000, 67.000000, 20.000000,131.000000, 67.000000, 20.000000
1696452338927, 415.000000, 103.000000, 67.000000, 21.000000,115.000000, 67.000000, 21.000000
1696452338977, 433.000000, 128.000000, 67.000000, 26.000000,118.000000, 68.000000, 24.000000
1696452339029, 428.000000, 119.000000, 68.000000, 21.000000,110.000000, 67.000000, 21.000000
1696452339077, 448.000000, 127.000000, 67.000000, 23.000000,118.000000, 67.000000, 23.000000
1696452339127, 446.000000, 125.000000, 67.000000, 21.000000,121.000000, 68.000000, 21.000000
1696452339178, 431.000000, 125.000000, 67.000000, 21.000000,122.000000, 67.000000, 25.000000
1696452339228, 442.000000, 123.000000, 67.000000, 20.000000,115.000000, 67.000000, 20.000000
1696452339277, 435.000000, 121.000000, 67.000000, 21.000000,117.000000, 67.000000, 22.000000
1696452339326, 428.000000, 121.000000, 67.000000, 21.000000,113.000000, 67.000000, 21.000000
1696452339378, 437.000000, 123.000000, 67.000000, 20.000000,116.000000, 67.000000, 21.000000
1696452339428, 426.000000, 118.000000, 67.000000, 21.000000,110.000000, 67.000000, 21.000000
1696452339495, 644.000000, 229.000000, 67.000000, 20.000000,231.000000, 67.000000, 20.000000
1696452339544, 624.000000, 217.000000, 68.000000, 20.000000,217.000000, 67.000000, 21.000000
1696452339577, 578.000000, 157.000000, 67.000000, 21.000000,170.000000, 68.000000, 21.000000
1696452339644, 417.000000, 189.000000, 68.000000, 21.000000,138.000000, 67.000000, 21.000000
1696452339677, 644.000000, 227.000000, 69.000000, 21.000000,228.000000, 67.000000, 22.000000
1696452339728, 646.000000, 225.000000, 67.000000, 21.000000,221.000000, 67.000000, 21.000000
1696452339777, 422.000000, 114.000000, 68.000000, 21.000000,119.000000, 68.000000, 21.000000
1696452339829, 409.000000, 99.000000, 67.000000, 21.000000,102.000000, 68.000000, 21.000000
1696452339897, 644.000000, 228.000000, 67.000000, 21.000000,223.000000, 67.000000, 21.000000
1696452339947, 655.000000, 230.000000, 67.000000, 21.000000,231.000000, 67.000000, 21.000000
