Timestamp (ms),Node Power (W),Socket 0 CPU Power (W),Socket 0 GPU Power (W),Socket 0 Mem Power (W),Socket 1 CPU Power (W),Socket 1 GPU Power (W),Socket 1 Mem Power (W)
1696452338876, 379.000000, 101.000000, 67.000000, 19.000000,81.000000, 67.000000, 19.000000
1696452338908, 408.000000, 105.000000, 68.000000, 20.000000,109.000000, 67.000000, 20.000000
1696452338958, 407.000000, 108.000000, 69.000000, 21.000000,106.000000, 67.000000, 21.000000
1696452339009, 406.000000, 107.000000, 68.000000, 22.000000,99.000000, 67.000000, 21.000000
1696452339059, 406.000000, 106.000000, 68.000000, 21.000000,100.000000, 67.000000, 22.000000
1696452339107, 416.000000, 113.000000, 69.000000, 24.000000,110.000000, 67.000000, 22.000000
1696452339157, 404.000000, 106.000000, 69.000000, 21.000000,104.000000, 68.000000, 20.000000
1696452339208, 403.000000, 109.000000, 69.000000, 20.000000,101.000000, 67.000000, 20.000000
1696452339256, 387.000000, 103.000000, 68.000000, 20.000000,100.000000, 67.000000, 20.000000
1696452339307, 390.000000, 102.000000, 69.000000, 20.000000,100.000000, 68.000000, 20.000000
1696452339357, 394.000000, 101.000000, 68.000000, 20.000000,99.000000, 67.000000, 20.000000
1696452339406, 401.000000, 103.000000, 69.000000, 20.000000,99.000000, 68.000000, 20.000000
1696452339474, 381.000000, 101.000000, 69.000000, 20.000000,95.000000, 67.000000, 20.000000
1696452339531, 607.000000, 212.000000, 69.000000, 20.000000,210.000000, 67.000000, 20.000000
1696452339564, 563.000000, 187.000000, 69.000000, 20.000000,187.000000, 67.000000, 20.000000
1696452339607, 458.000000, 124.000000, 68.000000, 20.000000,129.000000, 67.000000, 20.000000
1696452339673, 605.000000, 171.000000, 68.000000, 21.000000,176.000000, 67.000000, 20.000000
1696452339707, 605.000000, 171.000000, 68.000000, 21.000000,176.000000, 67.000000, 20.000000
1696452339759, 401.000000, 110.000000, 68.000000, 20.000000,107.000000, 67.000000, 20.000000
1696452339809, 397.000000, 106.000000, 69.000000, 21.000000,105.000000, 67.000000, 21.000000
1696452339875, 618.000000, 211.000000, 68.000000, 21.000000,213.000000, 67.000000, 20.000000
1696452339923, 605.000000, 210.000000, 68.000000, 20.000000,211.000000, 67.000000, 20.000000
1696452339981, 601.000000, 211.000000, 68.000000, 21.000000,208.000000, 67.000000, 20.000000
1696452340020, 609.000000, 211.000000, 68.000000, 21.000000,210.000000, 67.000000, 21.000000
1696452340060, 607.000000, 216.000000, 68.000000, 21.000000,209.000000, 67.000000, 20.000000
1696452340112, 401.000000, 88.000000, 68.000000, 20.000000,99.000000, 67.000000, 20.000000
1696452340173, 388.000000, 89.000000, 68.000000, 20.000000,84.000000, 67.000000, 20.000000
