# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        32   -8.5468308492e+00    1.4413751126e-01    1.0240187153e+04    1.0245000000e+04    2.5000000000e-01   -8.6380834766e+00    9.9534572409e-01    9.9882869693e-01
        33   -8.5499685360e+00    1.4662550092e-01    1.0240049924e+04    1.0235000000e+04    4.3750000000e-01   -8.4491507496e+00    9.9534963378e-01    9.9951148021e-01
        34   -8.5489023683e+00    1.4138232474e-01    1.0239948348e+04    1.0236000000e+04    1.8750000000e-01   -8.4718282732e+00    9.9541876063e-01    9.9941383353e-01
        35   -8.5502389994e+00    1.4277694804e-01    1.0240026432e+04    1.0238000000e+04    3.1250000000e-01   -8.5098360531e+00    9.9608442810e-01    9.9941394804e-01
        36   -8.5476998625e+00    1.4418789837e-01    1.0239932335e+04    1.0240000000e+04    3.1250000000e-01   -8.5502389994e+00    9.9459179656e-01    9.9902343750e-01
        37   -8.5472005570e+00    1.5646723178e-01    1.0239964698e+04    1.0236000000e+04    4.3750000000e-01   -8.4695595997e+00    9.9418833757e-01    9.9970691676e-01
        38   -8.5487798726e+00    1.4506203191e-01    1.0240039865e+04    1.0241000000e+04    3.1250000000e-01   -8.5667308534e+00    9.9517577900e-01    9.9882823943e-01
        39   -8.5498301525e+00    1.5009381930e-01    1.0239999447e+04    1.0235000000e+04    3.7500000000e-01   -8.4510997730e+00    9.9549672869e-01    9.9912066439e-01
        40   -8.5498547404e+00    1.4101550599e-01    1.0239948995e+04    1.0230000000e+04    4.3750000000e-01   -8.3544222230e+00    9.9515453130e-01    9.9990224829e-01
        41   -8.5479001690e+00    1.4440027514e-01    1.0239993466e+04    1.0246000000e+04    3.7500000000e-01   -8.6670079215e+00    9.9506680188e-01    9.9902400937e-01
        42   -8.5456158356e+00    1.4280992145e-01    1.0239931723e+04    1.0239000000e+04    3.7500000000e-01   -8.5283679653e+00    9.9444688529e-01    9.9921867370e-01
        43   -8.5487938210e+00    1.4812038310e-01    1.0240090511e+04    1.0241000000e+04    3.7500000000e-01   -8.5651461320e+00    9.9436804087e-01    9.9931647300e-01
